id,crashYear,crashSeverity,fatalCount,seriousInjuryCount,minorInjuryCount,crashLocation1,crashLocation2,region,holiday,light,speedLimit,advisorySpeed,latitude,longitude,bicycle,bus,carStationWagon,moped,motorcycle,otherVehicleType,pedestrian,schoolBus,suv,taxi,train,truck,vanOrUtility,vehicle
6295,2000,Minor Crash,0,0,1,LINWOOD AVENUE,BRITTAN ST,Canterbury Region,,Bright sun,50,,172.662364,-43.526493,1,0,1,0,0,0,,0,0,0,,0,0,
204286,2004,Minor Crash,0,0,1,FERGUSSON DRIVE,PARK ST,Wellington Region,,Overcast,50,,175.079490,-41.121871,1,0,0,0,0,0,,0,0,0,,0,1,
53812,2002,Minor Crash,0,0,1,SH 1S,KENNELS ROAD,Canterbury Region,Labour Weekend,Overcast,100,,171.238656,-44.337411,0,0,1,0,0,0,,0,0,0,0,0,0,0
38105,2014,Minor Crash,0,0,4,RISELAW ROAD,PANMURE AVENUE N,Otago Region,Easter,Overcast,50,,170.468966,-45.899621,0,0,2,0,0,0,,0,0,0,,0,0,
537059,2005,Minor Crash,0,0,1,SH 1N,WATERFALL ROAD,Wellington Region,,Dark,100,,174.982319,-40.972116,0,0,4,0,0,0,,0,0,0,,0,0,
20603,2000,Minor Crash,0,0,4,SH 12,ARARUA ROAD,Northland Region,,Dark,100,,174.190537,-36.121365,0,0,0,0,0,0,,0,0,0,,0,1,
215250,2011,Minor Crash,0,0,1,MOA ST,STATION ROAD,Auckland Region,,Twilight,50,,174.838768,-36.943580,0,0,3,0,0,0,,0,0,0,0,0,0,0
436939,2010,Serious Crash,0,1,0,MAVORA LAKES ROAD,MOUNT NICHOLAS ROAD,Southland Region,,Bright sun,100,,168.162354,-45.343539,0,0,0,0,1,0,,0,0,0,,0,0,
564158,2016,Minor Crash,0,0,1,SH 45,PIONEER ROAD,Taranaki Region,,Bright sun,50,,174.035892,-39.071034,0,0,2,0,0,0,,0,0,0,,0,0,
87975,2017,Minor Crash,0,0,2,SH 22,BUTCHER ROAD,Auckland Region,,Dark,70,,174.898499,-37.179267,0,0,1,0,0,0,,0,0,0,,0,1,
637465,2009,Minor Crash,0,0,2,SH 1N,REDOUBT OBR,Auckland Region,,Overcast,100,,174.888619,-36.993785,0,0,3,0,0,0,,0,0,0,,0,0,
494515,2005,Minor Crash,0,0,1,LONDON ST,DENMARK ST,Manawatu-Wanganui Region,,Dark,50,,176.093941,-40.211966,0,0,1,0,0,0,,0,0,0,0,1,0,0
300454,2013,Minor Crash,0,0,1,EAST COAST ROAD,HASTINGS ROAD,Auckland Region,Queens Birthday,Dark,50,,174.742296,-36.739888,0,0,2,0,0,0,,0,0,0,,0,0,
130552,2007,Minor Crash,0,0,1,RAPANUI ROAD,WATT LIVINGSTONE ROAD,Manawatu-Wanganui Region,,Bright sun,100,,174.964486,-39.888600,0,0,1,0,0,0,,0,1,0,0,0,0,0
605845,2013,Minor Crash,0,0,1,ALBERT ST,MAIN ST,Manawatu-Wanganui Region,,Bright sun,50,,175.623840,-40.349777,1,0,1,0,0,0,,0,0,0,,0,0,
41394,2018,Minor Crash,0,0,1,OLD PORT ROAD,FREEZING WORKS ROAD,Otago Region,,Dark,100,,169.662451,-46.275540,0,0,0,0,0,0,,0,0,0,0,0,1,0
326274,2013,Minor Crash,0,0,1,DAIRY FLAT HIGHWAY,SILVERDALE OFF NBD,Auckland Region,Easter,Overcast,80,,174.661765,-36.625691,0,0,1,0,0,0,,0,1,0,,0,0,
573160,2005,Minor Crash,0,0,1,SH 1N,PA ROAD,Wellington Region,Easter,Overcast,100,,174.911683,-41.020005,0,0,2,0,0,0,,0,0,0,,0,0,
317526,2001,Minor Crash,0,0,1,ONEWA ROAD,BIRKENHEAD AVENUE,Auckland Region,,Dark,50,,174.726611,-36.810035,0,0,3,0,0,0,,0,0,0,,0,0,
193761,2011,Minor Crash,0,0,1,WAKEFIELD ST,FOX ST,Wellington Region,,Bright sun,50,,175.323435,-41.114902,0,0,1,0,0,0,,0,1,0,,0,0,
414018,2011,Minor Crash,0,0,1,NORTON ROAD,OLD MILL ST,Waikato Region,,Dark,50,,175.270976,-37.785192,0,0,1,1,0,0,,0,0,0,,0,0,
101132,2018,Minor Crash,0,0,1,PAHIATUA PONGAROA ROAD,PORI ROAD,Manawatu-Wanganui Region,,Bright sun,100,,175.962299,-40.550546,0,0,0,0,0,0,,0,0,0,0,1,0,0
597735,2014,Serious Crash,0,1,0,MAUNGATAPU ROAD,ANCHORAGE GROVE,Bay of Plenty Region,Queens Birthday,Dark,50,,176.175905,-37.719239,0,0,1,0,1,0,,0,0,0,,0,0,
340940,2011,Minor Crash,0,0,1,SH 3 CORONATION,TIMANDRA ST,Taranaki Region,,Bright sun,50,,174.088014,-39.065730,0,0,2,0,0,0,,0,0,0,,0,0,
340753,2015,Minor Crash,0,0,1,TAKAPAU ORMONDVILLE ROAD,PAULSEN ROAD,Hawke's Bay Region,,Bright sun,100,,176.348390,-40.029485,0,0,1,0,0,0,,0,0,0,0,0,0,0
450045,2007,Serious Crash,0,1,0,SH 11,YORKE ROAD,Northland Region,,Overcast,70,,174.058095,-35.281461,0,0,1,0,0,0,1,0,0,0,,0,0,
109338,2006,Fatal Crash,1,0,0,SH 1B,KERIE ROAD,Waikato Region,,Bright sun,100,,175.207336,-37.621290,0,0,1,0,0,0,,0,0,0,0,1,0,0
566257,2003,Minor Crash,0,0,2,MAPUA DRIVE,SEATON VALLEY ROAD,Tasman Region,,Bright sun,100,,173.087199,-41.248453,0,0,1,0,0,0,,0,0,0,0,0,1,0
375758,2012,Serious Crash,0,1,0,KERRS ROAD,WOODHAM ROAD,Canterbury Region,,Bright sun,50,,172.681354,-43.525251,0,0,0,1,0,0,,0,1,0,,0,0,
344953,2015,Minor Crash,0,0,1,ADELAIDE ROAD,DRUMMOND ST,Wellington Region,,Bright sun,50,,174.778586,-41.305130,1,0,0,0,0,0,,0,0,0,,0,1,
31944,2012,Minor Crash,0,0,1,MONA SQUARE,CASS ST S,Canterbury Region,,Dark,50,,171.745752,-43.908457,1,0,1,0,0,0,,0,0,0,,0,0,
